EN,EM,Description,Composition strategy,Attribute,positional sensitivity
warm debate,🗣️🔥🗣️,"[':speaking_head:', ':fire:', ':speaking_head:']",Direct,LIVELINESS,4
warm debate,👄🤯,"[':mouth:', ':exploding_head:']",Metaphorical,LIVELINESS,3
warm debate,💥🧠,"[':collision:', ':brain:']",Metaphorical,LIVELINESS,3
warm debate,🌡️🗣️🗣️,"[':thermometer:', ':speaking_head:', ':speaking_head:']",Direct,LIVELINESS,2
warm room,♨️😮‍💨,"[':hot_springs:', ':face_exhaling:']",Metaphorical,TEMPERATURE,3
warm room,🌡🚺🚹,"[':thermometer:', ':women’s_room:', ':men’s_room:']",Direct,TEMPERATURE,2
warm room,🥵🏡,"[':hot_face:', ':house_with_garden:']",Direct,TEMPERATURE,2
warm room,🥵🏫,"[':hot_face:', ':school:']",Direct,TEMPERATURE,2
warm room,🥵🌡️🏚️,"[':hot_face:', ':thermometer:', ':derelict_house:']",Direct,TEMPERATURE,2
warm room,🥵,[':hot_face:'],Single,TEMPERATURE,1
warm room,🔥🏠,"[':fire:', ':house:']",Direct,TEMPERATURE,2
warm room,🌡️🏠,"[':thermometer:', ':house:']",Direct,TEMPERATURE,2
warm body,♨️🦶🦵👃👂🖐,"[':hot_springs:', ':foot:', ':leg:', ':nose:', ':ear:', ':hand_with_fingers_splayed:']",Semantic list,TEMPERATURE,1
warm body,🌡🧍‍♂️,"[':thermometer:', ':man_standing:']",Direct,TEMPERATURE,3
warm body,🎥💁‍♀️❤️🧟‍♂️,"[':movie_camera:', ':woman_tipping_hand:', ':red_heart:', ':man_zombie:']",Metaphorical,TEMPERATURE,4
warm body,🤒,[':face_with_thermometer:'],Single,TEMPERATURE,1
warm body,🤒,[':face_with_thermometer:'],Single,TEMPERATURE,1
warm body,🥵,[':hot_face:'],Single,TEMPERATURE,1
warm body,🔥🧖‍♂️,"[':fire:', ':man_in_steamy_room:']",Direct,TEMPERATURE,3
warm body,🌡️🧍,"[':thermometer:', ':person_standing:']",Direct,TEMPERATURE,3
warm climate,♨️⛅,"[':hot_springs:', ':sun_behind_cloud:']",Direct,TEMPERATURE,2
warm climate,🌡🏜,"[':thermometer:', ':desert:']",Metaphorical,TEMPERATURE,3
warm climate,🥵🏝,"[':hot_face:', ':desert_island:']",Metaphorical,TEMPERATURE,2
warm climate,🤒🥵🔥☀️,"[':face_with_thermometer:', ':hot_face:', ':fire:', ':sun:']",Metaphorical,TEMPERATURE,1
warm climate,☀️🌡️📈,"[':sun:', ':thermometer:', ':chart_increasing:']",Metaphorical,TEMPERATURE,3
warm climate,🌤,[':sun_behind_small_cloud:'],Single,TEMPERATURE,1
warm climate,🌤️,[':sun_behind_small_cloud:'],Single,TEMPERATURE,1
warm climate,🌡️🌏,"[':thermometer:', ':globe_showing_Asia-Australia:']",Metaphorical,TEMPERATURE,3
warm coat,♨️🧥,"[':hot_springs:', ':coat:']",Direct,TEMPERATURE,2
warm coat,🌡🧥,"[':thermometer:', ':coat:']",Direct,TEMPERATURE,2
warm coat,🥵🥼,"[':hot_face:', ':lab_coat:']",Direct,TEMPERATURE,2
warm coat,🧥🥵,"[':coat:', ':hot_face:']",Direct,TEMPERATURE,2
warm coat,👍🧥❌🥶,"[':thumbs_up:', ':coat:', ':cross_mark:', ':cold_face:']",Direct,TEMPERATURE,4
warm coat,🧥,[':coat:'],Single,TEMPERATURE,1
warm coat,🧥,[':coat:'],Single,TEMPERATURE,1
warm coat,🌡️🥼,"[':thermometer:', ':lab_coat:']",Direct,TEMPERATURE,2
warm personality,♨️🙂👤,"[':hot_springs:', ':slightly_smiling_face:', ':bust_in_silhouette:']",Direct,EMOTIONALITY,2
warm personality,🔥😝,"[':fire:', ':squinting_face_with_tongue:']",Direct,EMOTIONALITY,3
warm personality,🥵🤝👋,"[':hot_face:', ':handshake:', ':waving_hand:']",Direct,EMOTIONALITY,2
warm personality,🥰👭,"[':smiling_face_with_hearts:', ':women_holding_hands:']",Metaphorical,EMOTIONALITY,3
warm personality,👊🧑‍🤝‍🧑,"[':oncoming_fist:', ':people_holding_hands:']",Metaphorical,EMOTIONALITY,3
warm personality,🥰,[':smiling_face_with_hearts:'],Single,EMOTIONALITY,1
warm personality,😁🥳,"[':beaming_face_with_smiling_eyes:', ':partying_face:']",Semantic list,EMOTIONALITY,1
warm personality,🌡️💁‍♀️,"[':thermometer:', ':woman_tipping_hand:']",Direct,EMOTIONALITY,3
clear complexion,🔎👩🏻,"[':magnifying_glass_tilted_right:', ':woman_light_skin_tone:']",Direct,PERFECTION,3
clear complexion,👩✨,"[':woman:', ':sparkles:']",Metaphorical,PERFECTION,3
clear complexion,😌✨✨,"[':relieved_face:', ':sparkles:', ':sparkles:']",Metaphorical,PERFECTION,2
clear complexion,💁‍♀️,[':woman_tipping_hand:'],Single,PERFECTION,1
clear complexion,💆‍♀️👌,"[':woman_getting_massage:', ':OK_hand:']",Direct,PERFECTION,3
clear complexion,👨🚰🥗🪞✨,"[':man:', ':potable_water:', ':green_salad:', ':mirror:', ':sparkles:']",Metaphorical,PERFECTION,3
clear complexion,😍🧴,"[':smiling_face_with_heart-eyes:', ':lotion_bottle:']",Metaphorical,PERFECTION,3
clear indication,🔎👉,"[':magnifying_glass_tilted_right:', ':backhand_index_pointing_right:']",Direct,CLARITY,4
clear indication,✔️✔️,"[':check_mark:', ':check_mark:']",Reduplication,CLARITY,1
clear indication,😲😲🆗,"[':astonished_face:', ':astonished_face:', ':OK_button:']",Metaphorical,CLARITY,2
clear indication,🔮👓,"[':crystal_ball:', ':glasses:']",Direct,CLARITY,3
clear indication,✔️✍️,"[':check_mark:', ':writing_hand:']",Direct,CLARITY,3
clear indication,💬✔️❌❓,"[':speech_balloon:', ':check_mark:', ':cross_mark:', ':red_question_mark:']",Direct,CLARITY,4
clear indication,🗣👍🏻,"[':speaking_head:', ':thumbs_up_light_skin_tone:']",Direct,CLARITY,3
clear air,🌬,[':wind_face:'],Single,CLEARNESS,1
clear air,⛰️🌬️,"[':mountain:', ':wind_face:']",Metaphorical,CLEARNESS,3
clear air,💨💨✨,"[':dashing_away:', ':dashing_away:', ':sparkles:']",Metaphorical,CLEARNESS,2
clear air,🍃❌🚬🧹,"[':leaf_fluttering_in_wind:', ':cross_mark:', ':cigarette:', ':broom:']",Metaphorical,CLEARNESS,4
clear air,🌬️🍃👍,"[':wind_face:', ':leaf_fluttering_in_wind:', ':thumbs_up:']",Direct,CLEARNESS,3
clear air,💨✨❌🦠,"[':dashing_away:', ':sparkles:', ':cross_mark:', ':microbe:']",Metaphorical,CLEARNESS,4
clear air,👍🏻🌬,"[':thumbs_up_light_skin_tone:', ':wind_face:']",Direct,CLEARNESS,3
clear case,🔎💼,"[':magnifying_glass_tilted_right:', ':briefcase:']",Direct,CLARITY,3
clear case,✔️💼,"[':check_mark:', ':briefcase:']",Direct,CLARITY,3
clear case,👀🗣️,"[':eyes:', ':speaking_head:']",Metaphorical,CLARITY,3
clear case,🪟💼,"[':window:', ':briefcase:']",Direct,CLARITY,3
clear case,✔️💼,"[':check_mark:', ':briefcase:']",Direct,CLARITY,3
clear case,🕵🔬🔪🩸💡,"[':detective:', ':microscope:', ':kitchen_knife:', ':drop_of_blood:', ':light_bulb:']",Metaphorical,CLARITY,4
clear case,📂,[':open_file_folder:'],Single,CLARITY,1
clear idea,🔎💡,"[':magnifying_glass_tilted_right:', ':light_bulb:']",Direct,CLARITY,3
clear idea,✔️💡,"[':check_mark:', ':light_bulb:']",Direct,CLARITY,3
clear idea,🧠😲🆗,"[':brain:', ':astonished_face:', ':OK_button:']",Metaphorical,CLARITY,3
clear idea,🪟💡,"[':window:', ':light_bulb:']",Direct,CLARITY,3
clear idea,✔️💡,"[':check_mark:', ':light_bulb:']",Direct,CLARITY,3
clear idea,🤔💭💡✅,"[':thinking_face:', ':thought_balloon:', ':light_bulb:', ':check_mark_button:']",Metaphorical,CLARITY,4
clear idea,📑👍🏻,"[':bookmark_tabs:', ':thumbs_up_light_skin_tone:']",Direct,CLARITY,3
clear explanation,🔎🗣,"[':magnifying_glass_tilted_right:', ':speaking_head:']",Direct,CLARITY,3
clear explanation,✔️🗣️,"[':check_mark:', ':speaking_head:']",Direct,CLARITY,3
clear explanation,💬😲🆗,"[':speech_balloon:', ':astonished_face:', ':OK_button:']",Direct,CLARITY,3
clear explanation,👩‍🏫💯🗣️,"[':woman_teacher:', ':hundred_points:', ':speaking_head:']",Metaphorical,CLARITY,3
clear explanation,🗣️💡,"[':speaking_head:', ':light_bulb:']",Metaphorical,CLARITY,3
clear explanation,🤔❔👨‍🏫🗣️💡✅😀,"[':thinking_face:', ':white_question_mark:', ':man_teacher:', ':speaking_head:', ':light_bulb:', ':check_mark_button:', ':grinning_face:']",Metaphorical,CLARITY,5
clear explanation,👍🏻🗣,"[':thumbs_up_light_skin_tone:', ':speaking_head:']",Direct,CLARITY,3
clear glass,🔎🥛,"[':magnifying_glass_tilted_right:', ':glass_of_milk:']",Direct,CLEARNESS,3
clear glass,✔️🥛,"[':check_mark:', ':glass_of_milk:']",Direct,CLEARNESS,3
clear glass,🥃✨,"[':tumbler_glass:', ':sparkles:']",Metaphorical,CLEARNESS,3
clear glass,👓🥃,"[':glasses:', ':tumbler_glass:']",Direct,CLEARNESS,3
clear glass,✔️🥛,"[':check_mark:', ':glass_of_milk:']",Direct,CLEARNESS,3
clear glass,👓🔍✨✨,"[':glasses:', ':magnifying_glass_tilted_left:', ':sparkles:', ':sparkles:']",Direct,CLEARNESS,3
clear glass,🥃🔎,"[':tumbler_glass:', ':magnifying_glass_tilted_right:']",Direct,CLEARNESS,3
clear water,🔎💦,"[':magnifying_glass_tilted_right:', ':sweat_droplets:']",Direct,CLEARNESS,3
clear water,✔️💧,"[':check_mark:', ':droplet:']",Direct,CLEARNESS,3
clear water,💧💧✨,"[':droplet:', ':droplet:', ':sparkles:']",Metaphorical,CLEARNESS,2
clear water,👍💦💧,"[':thumbs_up:', ':sweat_droplets:', ':droplet:']",Direct,CLEARNESS,2
clear water,✔️💧,"[':check_mark:', ':droplet:']",Direct,CLEARNESS,3
clear water,💧💧🔬✨❌🦠,"[':droplet:', ':droplet:', ':microscope:', ':sparkles:', ':cross_mark:', ':microbe:']",Metaphorical,CLEARNESS,4
clear water,💧⚪️,"[':droplet:', ':white_circle:', '']",Metaphorical,CLEARNESS,3
clear-cut evidence,🔎📑,"[':magnifying_glass_tilted_right:', ':bookmark_tabs:']",Direct,CLARITY,3
clear-cut evidence,✔️📃,"[':check_mark:', ':page_with_curl:']",Direct,CLARITY,3
clear-cut evidence,📶😮✨👍,"[':antenna_bars:', ':face_with_open_mouth:', ':sparkles:', ':thumbs_up:']",Metaphorical,CLARITY,3
clear-cut evidence,🔍🕵️‍♂️🎉,"[':magnifying_glass_tilted_left:', ':man_detective:', ':party_popper:']",Metaphorical,CLARITY,3
clear-cut evidence,🕵✂️📜,"[':detective:', ':scissors:', ':scroll:']",Direct,CLARITY,4
clear-cut evidence,🔪❓🔬💡✔️,"[':kitchen_knife:', ':red_question_mark:', ':microscope:', ':light_bulb:', ':check_mark:']",Metaphorical,CLARITY,5
clear-cut evidence,📜🔎,"[':scroll:', ':magnifying_glass_tilted_right:']",Direct,CLARITY,3
unclear action,🤔🏃‍♀️,"[':thinking_face:', ':woman_running:']",Direct,CLARITY,3
unclear action,❌♟️,"[':cross_mark:', ':chess_pawn:']",Direct,CLARITY,3
unclear action,🤨🧐🤷‍♀️🤷‍♂️,"[':face_with_raised_eyebrow:', ':face_with_monocle:', ':woman_shrugging:', ':man_shrugging:']",Semantic list,CLARITY,1
unclear action,❓❓❓,"[':red_question_mark:', ':red_question_mark:', ':red_question_mark:']",Reduplication,CLARITY,1
unclear action,🕺🤔,"[':man_dancing:', ':thinking_face:']",Direct,CLARITY,3
unclear action,👨‍🏫🗣️📝❓❓❓,"[':man_teacher:', ':speaking_head:', ':memo:', ':red_question_mark:', ':red_question_mark:', ':red_question_mark:']",Metaphorical,CLARITY,3
unclear action,❓🤨,"[':red_question_mark:', ':face_with_raised_eyebrow:']",Metaphorical,CLARITY,3
deep trance,🕳️👀,"[':hole:', ':eyes:']",Direct,DEPTH,3
deep trance,♒😵,"[':Aquarius:', ':face_with_crossed-out_eyes:']",Direct,DEPTH,3
deep trance,😵,[':face_with_crossed-out_eyes:'],Single,DEPTH,1
deep trance,😵‍💫,[':face_with_spiral_eyes:'],Single,DEPTH,1
deep trance,😵‍💫😶,"[':face_with_spiral_eyes:', ':face_without_mouth:']",Semantic list,DEPTH,2
deep trance,😵‍💫,[':face_with_spiral_eyes:'],Single,DEPTH,1
deep trance,🧘‍♂️,[':man_in_lotus_position:'],Single,DEPTH,1
deep trance,😵‍💫⬇️,"[':face_with_spiral_eyes:', ':down_arrow:']",Direct,DEPTH,4
deep sigh,🕳️😮‍💨,"[':hole:', ':face_exhaling:']",Direct,DEPTH,3
deep sigh,😞😞,"[':disappointed_face:', ':disappointed_face:']",Reduplication,DEPTH,1
deep sigh,😮‍💨,[':face_exhaling:'],Single,DEPTH,1
deep sigh,😮‍💨,[':face_exhaling:'],Single,DEPTH,1
deep sigh,😮‍💨😥😕,"[':face_exhaling:', ':sad_but_relieved_face:', ':confused_face:']",Semantic list,DEPTH,1
deep sigh,😮‍💨,[':face_exhaling:'],Single,DEPTH,1
deep sigh,😮‍💨😮‍💨,"[':face_exhaling:', ':face_exhaling:']",Reduplication,DEPTH,1
deep sigh,😤🌬️,"[':face_with_steam_from_nose:', ':wind_face:']",Metaphorical,DEPTH,3
deep cut,🕳️✂️,"[':hole:', ':scissors:']",Direct,SIZE,3
deep cut,🤕✂️,"[':face_with_head-bandage:', ':scissors:']",Metaphorical,SIZE,4
deep cut,🔪🔪🔪,"[':kitchen_knife:', ':kitchen_knife:', ':kitchen_knife:']",Reduplication,SIZE,1
deep cut,🩸😱😵🔪,"[':drop_of_blood:', ':face_screaming_in_fear:', ':face_with_crossed-out_eyes:', ':kitchen_knife:']",Metaphorical,SIZE,4
deep cut,☝️🔪🩸🩸,"[':index_pointing_up:', ':kitchen_knife:', ':drop_of_blood:', ':drop_of_blood:']",Metaphorical,SIZE,4
deep cut,✂️🩸,"[':scissors:', ':drop_of_blood:']",Metaphorical,SIZE,4
deep cut,🤕,[':face_with_head-bandage:'],Single,SIZE,1
deep cut,🩸🤕,"[':drop_of_blood:', ':face_with_head-bandage:']",Metaphorical,SIZE,3
deep voice,🕳️🗣️,"[':hole:', ':speaking_head:']",Direct,PITCH,3
deep voice,🤔🗣,"[':thinking_face:', ':speaking_head:']",Metaphorical,PITCH,3
deep voice,🐻🎤,"[':bear:', ':microphone:']",Metaphorical,PITCH,3
deep voice,🗣️👨‍🦳,"[':speaking_head:', ':man_white_hair:']",Metaphorical,PITCH,3
deep voice,🗣️🔊🔽,"[':speaking_head:', ':speaker_high_volume:', ':downwards_button:']",Direct,PITCH,4
deep voice,🗣️,[':speaking_head:'],Single,PITCH,1
deep voice,🗣️ 🧏‍♂️,"[':speaking_head:', ':deaf_man:']",Metaphorical,PITCH,4
deep voice,🗣️⬇️,"[':speaking_head:', ':down_arrow:']",Direct,PITCH,4
deep emotion,🕳️😋,"[':hole:', ':face_savoring_food:']",Direct,DEPTH,3
deep emotion,🤔🤔,"[':thinking_face:', ':thinking_face:']",Reduplication,DEPTH,1
deep emotion,😭🌊,"[':loudly_crying_face:', ':water_wave:']",Metaphorical,DEPTH,3
deep emotion,🧐🤯,"[':face_with_monocle:', ':exploding_head:']",Metaphorical,DEPTH,3
deep emotion,⏬😢😭,"[':fast_down_button:', ':crying_face:', ':loudly_crying_face:']",Direct,DEPTH,3
deep emotion,🤬🤯😭😔,"[':face_with_symbols_on_mouth:', ':exploding_head:', ':loudly_crying_face:', ':pensive_face:']",Semantic list,DEPTH,1
deep emotion,😶,[':face_without_mouth:'],Single,DEPTH,1
deep emotion,😖🥺😤,"[':confounded_face:', ':pleading_face:', ':face_with_steam_from_nose:']",Semantic list,DEPTH,1
deep concentration,🕳️🤫,"[':hole:', ':shushing_face:']",Direct,DEPTH,3
deep concentration,🤔🧐,"[':thinking_face:', ':face_with_monocle:']",Semantic list,DEPTH,2
deep concentration,😵😵😵,"[':face_with_crossed-out_eyes:', ':face_with_crossed-out_eyes:', ':face_with_crossed-out_eyes:']",Reduplication,DEPTH,1
deep concentration,🧐👩‍💻✏️,"[':face_with_monocle:', ':woman_technologist:', ':pencil:']",Metaphorical,DEPTH,3
deep concentration,⏬🧐🤓,"[':fast_down_button:', ':face_with_monocle:', ':nerd_face:']",Direct,DEPTH,3
deep concentration,🤔,[':thinking_face:'],Single,DEPTH,1
deep concentration,📖,[':open_book:'],Single,DEPTH,1
deep concentration,📃📄🤓😵‍💫,"[':page_with_curl:', ':page_facing_up:', ':nerd_face:', ':face_with_spiral_eyes:']",Metaphorical,DEPTH,3
deep sleep,🕳️🛌,"[':hole:', ':person_in_bed:']",Direct,DEPTH,3
deep sleep,😴😪🛌,"[':sleeping_face:', ':sleepy_face:', ':person_in_bed:']",Metaphorical,DEPTH,2
deep sleep,😴😴😴,"[':sleeping_face:', ':sleeping_face:', ':sleeping_face:']",Reduplication,DEPTH,1
deep sleep,😪🤤😴😵,"[':sleepy_face:', ':drooling_face:', ':sleeping_face:', ':face_with_crossed-out_eyes:']",Metaphorical,DEPTH,2
deep sleep,😴🛌💤💤,"[':sleeping_face:', ':person_in_bed:', ':zzz:', ':zzz:']",Metaphorical,DEPTH,2
deep sleep,😪💤,"[':sleepy_face:', ':zzz:']",Metaphorical,DEPTH,3
deep sleep,😴😴,"[':sleeping_face:', ':sleeping_face:']",Reduplication,DEPTH,1
deep sleep,😴😴💤💤,"[':sleeping_face:', ':sleeping_face:', ':zzz:', ':zzz:']",Metaphorical,DEPTH,1
deep breath,🕳️😮‍💨,"[':hole:', ':face_exhaling:']",Direct,DEPTH,3
deep breath,😮🫁,"[':face_with_open_mouth:', ':lungs:']",Metaphorical,DEPTH,4
deep breath,😮‍💨😮‍💨😮‍💨,"[':face_exhaling:', ':face_exhaling:', ':face_exhaling:']",Reduplication,DEPTH,1
deep breath,😮‍💨,[':face_exhaling:'],Single,DEPTH,1
deep breath,🥱😮😮‍💨,"[':yawning_face:', ':face_with_open_mouth:', ':face_exhaling:']",Semantic list,DEPTH,2
deep breath,😮‍💨,[':face_exhaling:'],Single,DEPTH,1
deep breath,👃💨,"[':nose:', ':dashing_away:']",Metaphorical,DEPTH,4
deep breath,🌬️🫁,"[':wind_face:', ':lungs:']",Metaphorical,DEPTH,4
high price,💲💲💲💲,"[':heavy_dollar_sign:', ':heavy_dollar_sign:', ':heavy_dollar_sign:', ':heavy_dollar_sign:']",Reduplication,DEGREE,1
high price,🔝💸,"[':TOP_arrow:', ':money_with_wings:']",Metaphorical,DEGREE,4
high price,⬆️💲,"[':up_arrow:', ':heavy_dollar_sign:']",Direct,DEGREE,4
high price,🔝💵💸,"[':TOP_arrow:', ':dollar_banknote:', ':money_with_wings:']",Direct,DEGREE,4
high price,💸🤑🏦,"[':money_with_wings:', ':money-mouth_face:', ':bank:']",Metaphorical,DEGREE,2
high price,🏷💰,"[':label:', ':money_bag:']",Metaphorical,DEGREE,3
high price,🪜💲,"[':ladder:', ':heavy_dollar_sign:']",Direct,DEGREE,4
high price,💲🤯👆,"[':heavy_dollar_sign:', ':exploding_head:', ':backhand_index_pointing_up:']",Metaphorical,DEGREE,4
high forehead,👨‍🦲🤏,"[':man_bald:', ':pinching_hand:']",Metaphorical,HEIGHT,4
high forehead,🔝👩‍🦲,"[':TOP_arrow:', ':woman_bald:']",Direct,HEIGHT,4
high forehead,⬆️👴,"[':up_arrow:', ':old_man:']",Direct,HEIGHT,4
high forehead,👨‍🦲❌👦👨,"[':man_bald:', ':cross_mark:', ':boy:', ':man:']",Metaphorical,HEIGHT,4
high forehead,⬆️👩‍🦲,"[':up_arrow:', ':woman_bald:']",Direct,HEIGHT,4
high forehead,☝️👨‍🦲,"[':index_pointing_up:', ':man_bald:']",Direct,HEIGHT,4
high forehead,🪜🤦🏻‍♀️,"[':ladder:', ':woman_facepalming_light_skin_tone:']",Metaphorical,HEIGHT,4
high forehead,👨‍🦲👆,"[':man_bald:', ':backhand_index_pointing_up:']",Direct,HEIGHT,4
high hope,😇🙏,"[':smiling_face_with_halo:', ':folded_hands:']",Metaphorical,DEGREE,3
high hope,🔝✡️,"[':TOP_arrow:', ':star_of_David:']",Direct,DEGREE,4
high hope,⬆️☺️,"[':up_arrow:', ':smiling_face:']",Direct,DEGREE,4
high hope,🔝🤞🙏🌠💫🍀🤗,"[':TOP_arrow:', ':crossed_fingers:', ':folded_hands:', ':shooting_star:', ':dizzy:', ':four_leaf_clover:', ':smiling_face_with_open_hands:']",Metaphorical,DEGREE,2
high hope,⬆️😇🤞,"[':up_arrow:', ':smiling_face_with_halo:', ':crossed_fingers:']",Metaphorical,DEGREE,3
high hope,⬆️🙏,"[':up_arrow:', ':folded_hands:']",Direct,DEGREE,4
high hope,🪜🙏🏼,"[':ladder:', ':folded_hands_medium-light_skin_tone:']",Metaphorical,DEGREE,4
high hope,🙏😌👆,"[':folded_hands:', ':relieved_face:', ':backhand_index_pointing_up:']",Metaphorical,DEGREE,4
high building,🔝🏢,"[':TOP_arrow:', ':office_building:']",Direct,HEIGHT,4
high building,🔝🗼,"[':TOP_arrow:', ':Tokyo_tower:']",Direct,HEIGHT,4
high building,⬆️🗼,"[':up_arrow:', ':Tokyo_tower:']",Direct,HEIGHT,4
high building,🔝🏢🌆,"[':TOP_arrow:', ':office_building:', ':cityscape_at_dusk:']",Direct,HEIGHT,4
high building,🗼🏰🏯,"[':Tokyo_tower:', ':castle:', ':Japanese_castle:']",Direct,HEIGHT,2
high building,⬆️🏙,"[':up_arrow:', ':cityscape:']",Direct,HEIGHT,4
high building,🪜🏢,"[':ladder:', ':office_building:']",Metaphorical,HEIGHT,4
high building,🏢👆,"[':office_building:', ':backhand_index_pointing_up:']",Direct,HEIGHT,4
high mountain,🏔️😲,"[':snow-capped_mountain:', ':astonished_face:']",Metaphorical,HEIGHT,3
high mountain,🔝🗻,"[':TOP_arrow:', ':mount_fuji:']",Direct,HEIGHT,4
high mountain,⬆️🏔️,"[':up_arrow:', ':snow-capped_mountain:']",Direct,HEIGHT,4
high mountain,🔝⛰️,"[':TOP_arrow:', ':mountain:']",Direct,HEIGHT,4
high mountain,⛰️🏔️🗻,"[':mountain:', ':snow-capped_mountain:', ':mount_fuji:']",Semantic list,HEIGHT,1
high mountain,⬆️⛰️,"[':up_arrow:', ':mountain:']",Direct,HEIGHT,4
high mountain,🪜🏔,"[':ladder:', ':snow-capped_mountain:']",Metaphorical,HEIGHT,4
high mountain,🏔️👆,"[':snow-capped_mountain:', ':backhand_index_pointing_up:']",Direct,HEIGHT,4
high temperature,☀️♨️🥵🌡️,"[':sun:', ':hot_springs:', ':hot_face:', ':thermometer:']",Metaphorical,DEGREE,1
high temperature,🔝🥵,"[':TOP_arrow:', ':hot_face:']",Metaphorical,DEGREE,4
high temperature,🌡️🤒,"[':thermometer:', ':face_with_thermometer:']",Metaphorical,DEGREE,2
high temperature,🤒🥴🥵,"[':face_with_thermometer:', ':woozy_face:', ':hot_face:']",Metaphorical,DEGREE,1
high temperature,🥵♨️☀️🛏️,"[':hot_face:', ':hot_springs:', ':sun:', ':bed:']",Metaphorical,DEGREE,2
high temperature,🌡☀️,"[':thermometer:', ':sun:']",Metaphorical,DEGREE,3
high temperature,🤒,[':face_with_thermometer:'],Metaphorical,DEGREE,1
high temperature,🌡️🤒👆,"[':thermometer:', ':face_with_thermometer:', ':backhand_index_pointing_up:']",Metaphorical,DEGREE,4
high risk,😷⚠️☠️,"[':face_with_medical_mask:', ':warning:', ':skull_and_crossbones:']",Metaphorical,DEGREE,2
high risk,🔝☠️,"[':TOP_arrow:', ':skull_and_crossbones:']",Direct,DEGREE,4
high risk,☢️☣️⚠️,"[':radioactive:', ':biohazard:', ':warning:']",Metaphorical,DEGREE,2
high risk,🔝🆘,"[':TOP_arrow:', ':SOS_button:']",Direct,DEGREE,4
high risk,🗻☠️☣️,"[':mount_fuji:', ':skull_and_crossbones:', ':biohazard:']",Metaphorical,DEGREE,3
high risk,💀❗️,"[':skull:', ':red_exclamation_mark:', '']",Metaphorical,DEGREE,3
high risk,⚠️⚠️⚠️,"[':warning:', ':warning:', ':warning:']",Reduplication,DEGREE,1
high risk,☢️☣️🙅👆,"[':radioactive:', ':biohazard:', ':person_gesturing_NO:', ':backhand_index_pointing_up:']",Direct,DEGREE,4
high opinion,🗣️💯,"[':speaking_head:', ':hundred_points:']",Direct,DEGREE,3
high opinion,🔝🗣️,"[':TOP_arrow:', ':speaking_head:']",Direct,DEGREE,4
high opinion,👩‍⚕️👨‍🎓👍,"[':woman_health_worker:', ':man_student:', ':thumbs_up:']",Metaphorical,DEGREE,2
high opinion,🔝👨‍⚕️👩‍⚕️,"[':TOP_arrow:', ':man_health_worker:', ':woman_health_worker:']",Metaphorical,DEGREE,3
high opinion,❗‼️,"[':red_exclamation_mark:', ':double_exclamation_mark:']",Metaphorical,DEGREE,2
high opinion,⬆️🗣,"[':up_arrow:', ':speaking_head:']",Direct,DEGREE,4
high opinion,👍🏼👍🏼👍🏼,"[':thumbs_up_medium-light_skin_tone:', ':thumbs_up_medium-light_skin_tone:', ':thumbs_up_medium-light_skin_tone:']",Reduplication,DEGREE,1
high opinion,🗣️👆,"[':speaking_head:', ':backhand_index_pointing_up:']",Direct,DEGREE,4
high river,🏞️,[':national_park:'],Single,DEGREE,1
high river,🔝🏞️,"[':TOP_arrow:', ':national_park:']",Direct,DEGREE,4
high river,⬆️🏞️,"[':up_arrow:', ':national_park:']",Direct,DEGREE,4
high river,🔝🌊🏞️,"[':TOP_arrow:', ':water_wave:', ':national_park:']",Direct,DEGREE,4
high river,🏞️,[':national_park:'],Single,DEGREE,1
high river,⬆️🏞,"[':up_arrow:', ':national_park:']",Direct,DEGREE,4
high river,🪜🏞,"[':ladder:', ':national_park:']",Direct,DEGREE,4
high river,🌊👆,"[':water_wave:', ':backhand_index_pointing_up:']",Direct,DEGREE,4
high point,🔝☝️,"[':TOP_arrow:', ':index_pointing_up:']",Direct,DEGREE,4
high point,🔝👆,"[':TOP_arrow:', ':backhand_index_pointing_up:']",Direct,DEGREE,4
high point,⬆️👉,"[':up_arrow:', ':backhand_index_pointing_right:']",Direct,DEGREE,4
high point,🔝👉🗼,"[':TOP_arrow:', ':backhand_index_pointing_right:', ':Tokyo_tower:']",Direct,DEGREE,5
high point,🏔️,[':snow-capped_mountain:'],Single,DEGREE,1
high point,⬆️☝️,"[':up_arrow:', ':index_pointing_up:']",Direct,DEGREE,4
high point,🪜👆,"[':ladder:', ':backhand_index_pointing_up:']",Metaphorical,DEGREE,4
high point,🔺👆,"[':red_triangle_pointed_up:', ':backhand_index_pointing_up:']",Direct,DEGREE,4
cool drink,🧊🥃,"[':ice:', ':tumbler_glass:']",Metaphorical,TEMPERATURE,2
cool drink,🆒🥤,"[':COOL_button:', ':cup_with_straw:']",Direct,TEMPERATURE,2
cool drink,🧊🍾,"[':ice:', ':bottle_with_popping_cork:']",Metaphorical,TEMPERATURE,2
cool drink,🧊🍹🍺,"[':ice:', ':tropical_drink:', ':beer_mug:']",Metaphorical,TEMPERATURE,2
cool drink,🆒🍹,"[':COOL_button:', ':tropical_drink:']",Direct,TEMPERATURE,2
cool drink,🧊🍸,"[':ice:', ':cocktail_glass:']",Metaphorical,TEMPERATURE,2
cool drink,🥤🧃,"[':cup_with_straw:', ':beverage_box:']",Semantic list,TEMPERATURE,1
cool drink,💨🥤,"[':dashing_away:', ':cup_with_straw:']",Direct,TEMPERATURE,2
